fecha,jurisdiccion,sorteo,numero,posicion
2025-12-16,JUJUY,Vespertina,9169,12
2025-12-16,JUJUY,Vespertina,1767,13
2025-12-16,JUJUY,Vespertina,9726,14
2025-12-16,JUJUY,Vespertina,8941,15
2025-12-16,JUJUY,Vespertina,2866,16
2025-12-16,JUJUY,Vespertina,6499,17
2025-12-16,JUJUY,Vespertina,9090,18
2025-12-16,JUJUY,Vespertina,9200,19
2025-12-16,JUJUY,Vespertina,2979,20
2025-12-16,PBA,Extra,8011,1
2025-12-16,PBA,Extra,6579,2
2025-12-16,PBA,Extra,6382,3
2025-12-16,PBA,Extra,6341,4
2025-12-16,PBA,Extra,0087,5
2025-12-16,PBA,Extra,7665,6
2025-12-16,PBA,Extra,0590,7
2025-12-16,PBA,Extra,2732,8
2025-12-16,PBA,Extra,7332,9
2025-12-16,PBA,Extra,0963,10
2025-12-16,PBA,Extra,0976,11
2025-12-16,PBA,Extra,5752,12
2025-12-16,PBA,Extra,5651,13
2025-12-16,PBA,Extra,0972,14
2025-12-16,PBA,Extra,1824,15
2025-12-16,PBA,Extra,6727,16
2025-12-16,PBA,Extra,7239,17
2025-12-16,PBA,Extra,0707,18
2025-12-16,PBA,Extra,4240,19
2025-12-16,PBA,Extra,1702,20
2025-12-16,PBA,Matutina,0896,1
2025-12-16,PBA,Matutina,7495,2
2025-12-16,PBA,Matutina,1316,3
2025-12-16,PBA,Matutina,4680,4
2025-12-16,PBA,Matutina,2624,5
2025-12-16,PBA,Matutina,4542,6
2025-12-16,PBA,Matutina,4564,7
2025-12-16,PBA,Matutina,5409,8
2025-12-16,PBA,Matutina,7837,9
2025-12-16,PBA,Matutina,3027,10
2025-12-16,PBA,Matutina,8816,11
2025-12-16,PBA,Matutina,8970,12
2025-12-16,PBA,Matutina,6452,13
2025-12-16,PBA,Matutina,3295,14
2025-12-16,PBA,Matutina,1350,15
2025-12-16,PBA,Matutina,5213,16
2025-12-16,PBA,Matutina,0371,17
2025-12-16,PBA,Matutina,1567,18
2025-12-16,PBA,Matutina,5193,19
2025-12-16,PBA,Matutina,6351,20
2025-12-16,PBA,Nocturna,5283,1
2025-12-16,PBA,Nocturna,7773,2
2025-12-16,PBA,Nocturna,7123,3
2025-12-16,PBA,Nocturna,6527,4
2025-12-16,PBA,Nocturna,5995,5
2025-12-16,PBA,Nocturna,4892,6
2025-12-16,PBA,Nocturna,6972,7
2025-12-16,PBA,Nocturna,6007,8
2025-12-16,PBA,Nocturna,7214,9
2025-12-16,PBA,Nocturna,4899,10
2025-12-16,PBA,Nocturna,7121,11
2025-12-16,PBA,Nocturna,9356,12
2025-12-16,PBA,Nocturna,7917,13
2025-12-16,PBA,Nocturna,8696,14
2025-12-16,PBA,Nocturna,4163,15
2025-12-16,PBA,Nocturna,8232,16
2025-12-16,PBA,Nocturna,9673,17
2025-12-16,PBA,Nocturna,7770,18
2025-12-16,PBA,Nocturna,9164,19
2025-12-16,PBA,Nocturna,9208,20
2025-12-16,PBA,Vespertina,1330,1
2025-12-16,PBA,Vespertina,8439,2
2025-12-16,PBA,Vespertina,5619,3
2025-12-16,PBA,Vespertina,0529,4
2025-12-16,PBA,Vespertina,5471,5
2025-12-16,PBA,Vespertina,2590,6
2025-12-16,PBA,Vespertina,6751,7
2025-12-16,PBA,Vespertina,3518,8
2025-12-16,PBA,Vespertina,2711,9
2025-12-16,PBA,Vespertina,5550,10
2025-12-16,PBA,Vespertina,1622,11
2025-12-16,PBA,Vespertina,0523,12
2025-12-16,PBA,Vespertina,6012,13
2025-12-16,PBA,Vespertina,0224,14
2025-12-16,PBA,Vespertina,0895,15
2025-12-16,PBA,Vespertina,3327,16
2025-12-16,PBA,Vespertina,0329,17
2025-12-16,PBA,Vespertina,7841,18
2025-12-16,PBA,Vespertina,9141,19
2025-12-16,PBA,Vespertina,9689,20
2025-12-16,SALTA,Extra,0580,1
2025-12-16,SALTA,Extra,8007,2
2025-12-16,SALTA,Extra,8523,3
2025-12-16,SALTA,Extra,2668,4
2025-12-16,SALTA,Extra,4171,5
2025-12-16,SALTA,Extra,6535,6
2025-12-16,SALTA,Extra,6596,7
2025-12-16,SALTA,Extra,4209,8
2025-12-16,SALTA,Extra,9590,9
2025-12-16,SALTA,Extra,4802,10
2025-12-16,SALTA,Extra,0475,11
2025-12-16,SALTA,Extra,6988,12
2025-12-16,SALTA,Extra,6551,13
2025-12-16,SALTA,Extra,3380,14
2025-12-16,SALTA,Extra,3387,15
2025-12-16,SALTA,Extra,1140,16
2025-12-16,SALTA,Extra,4122,17
2025-12-16,SALTA,Extra,0581,18
2025-12-16,SALTA,Extra,8472,19
2025-12-16,SALTA,Extra,0286,20
2025-12-16,SALTA,La Revancha,3761,1
2025-12-16,SALTA,La Revancha,7076,2
